lambda2,seed,val_loss,r_perp
0.0001,2684470948,0.6047616600990295,0.21528044224202134
0.0001,4091952314,0.606334924697876,0.1238264416193171
0.0001,233227757,0.6109349131584167,0.1706289080295752
0.001,2684470948,0.6138743758201599,0.18651455197527483
0.001,4091952314,0.6079932451248169,0.1576696624694495
0.001,233227757,0.6044483780860901,0.17044251929892898
0.01,2684470948,0.604106068611145,0.1512976611532879
0.01,4091952314,0.6082103252410889,0.1134383908955298
0.01,233227757,0.6063973903656006,0.14510999976597652
0.1,2684470948,0.608013391494751,0.06278416822042286
0.1,4091952314,0.6087247133255005,0.13326316224320983
0.1,233227757,0.602435290813446,0.08516490706451955
1.0,2684470948,0.6042850017547607,0.07650939631660525
1.0,4091952314,0.6178297996520996,0.06832941856285785
1.0,233227757,0.6062280535697937,0.05806100488963988
10.0,2684470948,0.677579402923584,0.014583598587788588
10.0,4091952314,0.6563056707382202,0.12591720414941113
10.0,233227757,0.6258283853530884,0.03146791703028771
